filename	event_label
-0H7vrzA80U_4_14.wav	Cat
-6Vtt4ubkC8_78_88.wav	Electric_shaver_toothbrush
-EIf0pkjwm8_22_32.wav	Dog,Alarm_bell_ringing
-dJ-9S6PdYM_498_508.wav	Running_water,Dishes
-uQVTqZ1MAQ_35_45.wav	Blender,Speech
-vVpo679xac_4_14.wav	Running_water
0-0MLvQfung_0_10.wav	Speech,Cat
03Gx1-dXY6A_466_476.wav	Electric_shaver_toothbrush
06gFpwTehEM_0_10.wav	Alarm_bell_ringing
0BYDGId5pdo_0_10.wav	Vacuum_cleaner,Speech
0B_FmLiGad0_117_127.wav	Electric_shaver_toothbrush
0DEKat97psc_27_37.wav	Dog
0JPrU0UV6cQ_185_195.wav	Speech,Dishes
0eJ5Fwo2hrM_118_128.wav	Speech,Dishes,Frying
0qo-ZXw2k-4_21_31.wav	Vacuum_cleaner,Speech
0uxmjq4KU9U_0_10.wav	Running_water
12Dnv8nDcdc_300_310.wav	Dog,Speech
13OkKMqxWjU_60_70.wav	Electric_shaver_toothbrush,Speech
1LKP1ZyHgVg_0_10.wav	Cat
1PG36qCNq-8_598_608.wav	Vacuum_cleaner,Speech
1PG36qCNq-8_820_830.wav	Vacuum_cleaner
1Q75gU6FXIw_190_200.wav	Vacuum_cleaner
1Ro0FgMWTUE_120_130.wav	Speech,Dishes,Frying
1S4Oa9ERcHU_3_13.wav	Alarm_bell_ringing,Cat
1bJpJ0pxFrE_0_10.wav	Running_water
1gb4ATePtAM_100_110.wav	Speech,Dishes,Frying
28J2wfnCVwI_85_95.wav	Electric_shaver_toothbrush,Speech
2MN7pxnGG4g_0_10.wav	Speech,Alarm_bell_ringing
2TkylvkNpPw_4_14.wav	Speech,Running_water,Dishes
2UB7ZxVjpNU_0_10.wav	Alarm_bell_ringing
2YG4-o_mX1g_0_7.wav	Dog
2ci7A2dEb3k_0_10.wav	Running_water
2cu67vMHb8M_290_300.wav	Speech,Vacuum_cleaner
2duVGulE6lo_81_91.wav	Blender,Speech
2ihT-Zg9aAc_0_10.wav	Alarm_bell_ringing
2rscFDAe1qI_0_10.wav	Vacuum_cleaner
2sEIY7mDmgg_21_31.wav	Electric_shaver_toothbrush
2sMzNr0q_as_246_256.wav	Vacuum_cleaner
2tIZoLqidPs_598_608.wav	Electric_shaver_toothbrush,Speech
2w96QJ7UvhQ_133_143.wav	Blender,Speech
31etSiozBZ4_56_66.wav	Blender,Dishes
3BJGUZnSlfw_0_10.wav	Vacuum_cleaner
3IolIoLZBCQ_25_35.wav	Dog
3XGni7aHhr4_360_370.wav	Speech,Frying
3awAJGoAyeI_456_466.wav	Vacuum_cleaner,Speech
3biuAIzVauw_375_385.wav	Dog
3cqsXEzUdiY_248_258.wav	Dog,Speech
3p3u-Utoj8Y_0_10.wav	Alarm_bell_ringing
3ssQMGnK118_364_374.wav	Speech,Running_water,Dishes
45OrmgLniPE_940_950.wav	Speech,Vacuum_cleaner
49AbSai8It4_635_645.wav	Speech,Alarm_bell_ringing
4B6Ch03-wjQ_415_425.wav	Blender,Speech
4Fhqokd_lpE_0_10.wav	Cat
4IEUeikTp2A_13_23.wav	Cat
4KcGV2CMCRo_75_85.wav	Speech,Running_water
4Kt1aojcpdU_0_10.wav	Alarm_bell_ringing
4MIDr6pY_80_8_18.wav	Dog,Speech
4Ue4_WhD6Mg_10_20.wav	Electric_shaver_toothbrush
4YNJix0AJBA_288_298.wav	Dog,Speech,Alarm_bell_ringing
4_1zk1dkwfE_0_9.wav	Alarm_bell_ringing
4e__S9UXOMM_740_750.wav	Speech,Dishes
4fToGeoB7Qw_41_51.wav	Speech,Dishes
4fyWleU80yY_366_376.wav	Speech,Dishes,Frying
4iAq_bdEXBg_187_197.wav	Electric_shaver_toothbrush,Speech
4wWbf0qP5K0_420_430.wav	Electric_shaver_toothbrush,Speech
4xhzacM1PSA_32_42.wav	Cat
4z9TmhD-3aM_99_109.wav	Electric_shaver_toothbrush,Speech
50PqzTQomOM_137_147.wav	Speech,Alarm_bell_ringing
55SE3frignA_305_315.wav	Electric_shaver_toothbrush,Speech
5OjbMgvwJCg_0_10.wav	Dog
5dPr-ueDFRE_10_20.wav	Electric_shaver_toothbrush
5zF2tJIkqdU_30_40.wav	Vacuum_cleaner
64AM1PAwetg_0_10.wav	Running_water
64zwMCsqdeM_106_116.wav	Speech,Running_water,Dishes
64zwMCsqdeM_133_143.wav	Blender,Speech
66ATwgFqM-U_0_10.wav	Alarm_bell_ringing
67MbfbSyW-A_0_10.wav	Alarm_bell_ringing
68BYINd-Wr8_329_339.wav	Speech,Frying
6BGEiBFVVvs_174_184.wav	Dishes
6CLqqCp8Jfo_138_148.wav	Speech,Alarm_bell_ringing
6VmWlDdKsLQ_104_114.wav	Speech,Vacuum_cleaner
6Y8vX8Sy8b8_840_850.wav	Dishes
6bgTyN0q-ug_1_11.wav	Dishes,Frying
6nh51gqR47k_1970_1980.wav	Dog,Speech,Dishes,Frying
6pMQjvXuZP8_30_40.wav	Dog,Speech,Dishes
6sjz04nF7jQ_9_19.wav	Blender
6tm4pEI2s9Y_1_11.wav	Vacuum_cleaner
6ze6mWloUw8_144_154.wav	Electric_shaver_toothbrush,Speech
7DE3rPuroG0_65_75.wav	Speech,Dishes
7LthJS6PuPI_550_560.wav	Electric_shaver_toothbrush,Speech
7Ngf_EYN1Aw_24_34.wav	Speech,Cat
7QpEG3T0rJs_10_20.wav	Blender
7YB8tx4ug1E_0_10.wav	Dog
7qTsccKPPpA_0_10.wav	Running_water
7tt7NBIVeMY_141_151.wav	Running_water
842HgZcd2e8_102_112.wav	Dog,Speech
86ekc_OvaCI_192_202.wav	Blender,Speech
87wrn2pq0l0_19_29.wav	Electric_shaver_toothbrush,Speech
8Ei3UHIortI_175_185.wav	Electric_shaver_toothbrush
8FdvR75XaHw_102_112.wav	Blender
8ORBpGTScPQ_0_10.wav	Dog
8RObHsG-C1M_0_10.wav	Vacuum_cleaner
8eaysdvS-0I_30_40.wav	Electric_shaver_toothbrush,Speech
8tbUCO_HtOU_3_13.wav	Speech,Cat
8wvK-9PoVxk_0_10.wav	Frying
8ykvfuAfh3Q_23_33.wav	Speech,Vacuum_cleaner
92DnfXg9Y6k_1200_1210.wav	Vacuum_cleaner
92ZU3IcYEIE_270_280.wav	Blender,Speech
96sv_nKIBgY_144_154.wav	Electric_shaver_toothbrush,Speech
9Buwu9vuQEY_0_10.wav	Electric_shaver_toothbrush,Alarm_bell_ringing
9CjEdliO2Mc_34_44.wav	Dishes
9DYcovm9i0M_741_751.wav	Speech,Frying
9FuBQiBH2mg_0_10.wav	Speech,Cat
9VGkbXCgZwU_0_10.wav	Vacuum_cleaner
9VrPJEGvXXQ_510_520.wav	Blender,Speech
9ukvwp1Z1WQ_0_10.wav	Vacuum_cleaner
9xcpJJiNtX4_1470_1480.wav	Vacuum_cleaner
9zkkUJh91pM_50_60.wav	Cat
A4ajRYMfoTw_0_10.wav	Vacuum_cleaner
A5bC6KJD6l8_0_10.wav	Dog,Alarm_bell_ringing
ANFAQvPgg-8_0_10.wav	Running_water
